client_id,app,period,user_id
C001,M365,2024-03,u001
C001,M365,2024-03,u002
C001,M365,2024-03,u003
C001,M365,2024-03,u004
C001,M365,2024-03,u005
C001,M365,2024-03,u006
C001,M365,2024-03,u007
C001,M365,2024-03,u008
C001,M365,2024-03,u009
C001,M365,2024-03,u010
C001,M365,2024-03,u011
C001,M365,2024-03,u012
C001,M365,2024-03,u013
C001,M365,2024-03,u014
C001,M365,2024-03,u015
C001,M365,2024-04,u001
C001,M365,2024-04,u002
C001,M365,2024-04,u003
C001,M365,2024-04,u004
C001,M365,2024-04,u005
C001,M365,2024-04,u006
C001,M365,2024-04,u007
C001,M365,2024-04,u008
C001,M365,2024-04,u009
C001,M365,2024-04,u010

